,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,acousticness,artists,energy,id,name,year,genres
11738,12114,12560,17697,51072,0.03,Elmore James,0.6,2VGKu8vqrtj0ca62khiu38,The Sky is Crying,1960,blues
11739,12115,12563,17700,51075,0.966,Etta James,0.0812,2aHJDove8R5ZQ5L3v8t2sL,My Funny Valentine,1960,blues
11740,12116,12564,17701,51076,0.000236,Elmore James,0.815,2d4aYrGp0VgFUVuudkG2Hk,Rollin' and Tumblin',1960,blues
11741,12117,12587,17730,51107,0.674,Muddy Waters,0.858,4h4YIUqwVbVUsLiWSDMzZG,I Feel So Good - Live At Newport Jazz Festival/1960,1960,blues
11742,12118,12598,17741,51120,0.6759999999999999,Muddy Waters,0.51,5wJfMYutCzdxkHKCKu2oRp,Just A Dream (On My Mind),1960,blues
11743,12119,12610,17757,51136,0.9940000000000001,Furry Lewis,0.15,7KwwQHmnE9xEYMRLufyIc5,Kassie Jones (Casey Jones),1960,blues
11744,12120,12612,17759,51138,0.732,B.B. King,0.4370000000000001,7oHnW0qZpvZntSvfehqKpB,(I've) Got A Right To Love My Baby,1960,blues
11745,12121,12620,17768,51148,0.919,Ella Fitzgerald,0.28300000000000003,0g2y60SABRLJfkXr5lZoI7,"The Man I Love - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11746,12122,12629,17778,51159,0.993,Ella Fitzgerald,0.0725,1cJOYiIFK6uotxmfdkDC24,Who's Sorry Now,1960,blues
11747,12123,12635,17785,51167,0.5720000000000001,Muddy Waters,0.521,23FvNfgu1wLjIUpZ9FE8hL,Double Trouble,1960,blues
11748,12124,12637,17788,51170,0.0279,Elmore James,0.524,2ADeIzbH23g6zPjzGCkIBt,Held My Baby Last Night,1960,blues
11749,12125,12640,17791,51173,0.667,Chuck Berry,0.245,2IU72SQcNQd668V0tWToNe,Driftin' Blues,1960,blues
11750,12126,12642,17793,51176,0.602,John Lee Hooker,0.33399999999999996,2OigRCY3ff6sAmQRrJwMGC,I Wanna Walk,1960,blues
11751,12127,12643,17795,59209,0.9640000000000001,Big Bill Broonzy,0.154,2VoJDaa4Iq5piywA1VZ2na,Goin' Down The Road Feelin' Bad,1960,blues
11752,12128,12644,17796,59210,0.741,Elmore James,0.73,2aJFzJ2YDsQDzKclgK2y7w,Look on Yonder Wall,1960,blues
11753,12129,12649,17805,59220,0.845,Muddy Waters,0.5529999999999999,32TNBzmQKJ2BzTq5fiBDPz,"Baby, I Done Got Wise",1960,blues
11754,12130,12650,17806,59221,0.831,Muddy Waters,0.498,35yNtw5cczkTnkBQmKP3TK,Mopper's Blues,1960,blues
11755,12131,12651,17808,59224,0.746,Ella Fitzgerald,0.536,3GfeYhvlNkAGtDoFNMOpxi,"Too Darn Hot - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11756,12132,12657,17815,59234,0.774,John Lee Hooker,0.0335,3tXhd4rrp98AeFXsChONXB,Wednesday Evenin' Blues,1960,blues
11757,12133,12663,17821,59241,0.445,Muddy Waters,0.598,4ASHM48Ufi1bEjJttPdxZC,Soon Forgotten,1960,blues
11758,12134,12673,17835,59255,0.915,John Lee Hooker,0.109,5KYEHyTliPtBe2bwsUYsxh,Gonna Use My Rod,1960,blues
11759,12135,12680,17846,59266,0.9109999999999999,Muddy Waters,0.65,6EIPwOcT8cbrw3OYsSEM5d,"Hey, Hey",1960,blues
11760,12136,12687,17857,59278,0.863,John Lee Hooker,0.0713,6mf5ildSOfQ5mPN9Ehpcel,I Want To Talk About You,1960,blues
11761,12137,12689,17859,59280,0.99,Ella Fitzgerald,0.0346,6vyU3A1YcB0MrD4kIHekLc,Reach For Tomorrow,1960,blues
11762,12138,12695,17866,59287,0.696,Bo Diddley,0.9129999999999999,7BkQNm8eUqBncCgbu5FaRZ,I Love You So,1960,blues
11763,12139,12696,17867,59288,0.8540000000000001,John Lee Hooker,0.0235,7BlPHKt3bLcXT55ZdhDlnc,One Of These Days,1960,blues
11764,12140,12697,17868,59289,0.995,Ella Fitzgerald,0.0324,7MM5Bc7M5Isjm5XSo7kt5F,I Hadn't Anyone Till You,1960,blues
11765,12141,12700,17872,59295,0.691,Elmore James,0.735,7v37dVW00KEoIX6lL1cnZB,Done Somebody Wrong,1960,blues
11766,12142,12701,17873,59296,0.61,Elmore James,0.721,00aVA0Wd0ES81TEpVuunGq,I'm Worried,1960,blues
11767,12143,12715,17892,59315,0.19899999999999998,Bo Diddley,0.68,0i5lMuACZkxjYK7D2R9cut,Dancin' Girl,1960,blues
11768,12144,12718,17896,59319,0.992,Ella Fitzgerald,0.0574,0sWF9FlzJ8WhOAkAuJt14G,My Melancholy Baby,1960,blues
11769,12145,12721,17900,59325,0.895,Nina Simone,0.221,153MCMeSF0xw7J35RMW0Tc,"Porgy - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",1960,blues
11770,12146,12725,17904,59330,0.742,Jimmy Reed,0.36200000000000004,1H9AIGSAgczBsXoIzrst0r,Meet Me,1960,blues
11771,12147,12731,17912,59340,0.0048,Elmore James,0.935,1h0qIqWO2n9vV4QTyszRhm,Stranger Blues,1960,blues
11772,12148,12733,17915,59343,0.775,John Lee Hooker,0.614,1ryHiEkl7RvjVKSHdQikgm,Run On,1960,blues
11773,12149,12738,17921,59349,0.439,Elmore James,0.7609999999999999,20xbn1NX54tCQqBiQBttQw,Anna Lee,1960,blues
11774,12150,12751,17937,59367,0.409,Etta James,0.308,2oI3TgpoI9fquT4uvb9GUt,I've Been Lovin' You Too Long,1960,blues
11775,12151,12755,17941,59371,0.649,John Lee Hooker,0.18100000000000002,2uz1fGj0mgXFSu511jgQOG,Canal Street Blues,1960,blues
11776,12152,12760,17948,59381,0.703,Bo Diddley,0.863,3kzpdHujkTw1M0RFOJHTbk,She's Alright,1960,blues
11777,12153,12763,17951,59384,0.667,John Lee Hooker,0.0927,3uU5htjPpaRaPanmQd320D,I Believe I’ll Go Back Home,1960,blues
11778,12154,12776,17968,59401,0.9279999999999999,John Lee Hooker,0.0306,4gM6d5xNTjOXbxNtMtvmVs,That's My Story,1960,blues
11779,12155,12782,17974,59407,0.77,Elmore James,0.6829999999999999,4shFK9xkCbLkOlAQN6LV71,Something Inside of Me,1960,blues
11780,12156,12784,17977,67411,0.0141,Elmore James,0.659,55poeF0I5nPuSczZnz2R09,Dust My Broom,1960,blues
11781,12157,12791,17987,67422,0.8009999999999999,Earl Hooker,0.632,5h8HrCCGLOmhW3ufkRb2Dv,Blues In D Natural,1960,blues
11782,12158,12794,17993,67428,0.0841,Nina Simone,0.583,5ubm825oSE11ES2lsmt2TU,"Flo Me La - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",1960,blues
11783,12159,12798,17998,67433,0.862,Elmore James,0.44299999999999995,601kGHUA4MR3ekrRq01Iy3,Calling All Blues,1960,blues
11784,12160,12799,18000,67435,0.271,Elmore James,0.746,61lrv5IscRxhZ2GVvcrNVE,Fine Little Mama,1960,blues
11785,12161,12806,18010,67446,0.745,Nina Simone,0.385,6IiZx3EIybLbnWxuBQyBzK,"Nina's Blues - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",1960,blues
11786,12162,12839,18054,67492,0.9109999999999999,Dinah Washington,0.261,0cl2FAP6qcwloSpuFYi5Kk,Nothing in the World,1960,blues
11787,12163,12871,18093,67535,0.9259999999999999,Etta James,0.205,2BXoA0AvnJVSSf8cVQu5oP,I'll Be Seeing You,1960,blues
11788,12164,12878,18101,67545,0.779,Dinah Washington,0.252,2IxXgW3o0mnKCpSCBzqurM,Not One Step Behind,1960,blues
11789,12165,12880,18103,67547,0.5429999999999999,Elmore James,0.765,2LgGohyaOCfiRS8bXyxeTZ,Early One Morning,1960,blues
11790,12166,12884,18108,67556,0.0983,Elmore James,0.691,2bgliphGH1jvRjb9TRShaX,My Bleeding Heart,1960,blues
11791,12167,12895,18126,67577,0.88,Big Bill Broonzy,0.23800000000000002,3KdmruM7GHANlUZIlQBjhx,The Glory Of Love,1960,blues
